premise_name,premise_city,premise_address1,premise_address2,premise_zip,premi se_state,premise_phone,geolocation
OAK GROVE SCHOOL,DURHAM,3810 WAKE FOREST HWY,,27703,NC,(919) 560-3930,35.979946; -78.819459
AMBER OAKS APARTMENTS,DURHAM,3501 CENTURY OAKS RD,,27713,NC,(919) 544-2476,35.9422218; -78.8938987
HILLSIDE PARK - POOL,DURHAM,1221 SAWYER STREET,101 CITY HALL PLAZA,27701,NC,,35.9822207; -78.9016503
DOWNING CREEK HOA,CHAPEL HILL,5100 DOWNING CREEK PARKWAY,,27517,NC,,35.9029695; -78.999698
CHAPEL TOWER APTS,DURHAM,1315 MORREENE RD,,27705,NC,,36.0044541; -78.9532955
STONESTHROW APTS,DURHAM,3207 STONESTHROW LANE,,27713,NC,(919) 361-5263,35.8909296; -78.8833444
VALLEY TERRACE APTS,DURHAM,2836 CHAPEL HILL RD,,27707,NC,,35.9729158; -78.9382514
RED ROBIN GOURMET BURGERS,DURHAM,5313 NEW HOPE COMMONS DR.,,27707,NC,(919) 419-4980,35.9533167; -78.9968077
CHICK-FIL-A RENAISSANCE VILLAG,DURHAM,7836 LEONARDO DRIVE,,27713,NC,(919) 206-4330,35.9022771; -78.957548
P F CHANG S CHINA BISTRO,DURHAM,6801 FAYETTEVILLE ROAD,,27713,NC,(919) 294-3131,35.9053183; -78.9368593
BENETIS,DURHAM,5410 Q HWY 55,,27713,NC,(919) 806-0313,35.8896949; -78.897126
FOREST VIEW ELEM SCH,DURHAM,3007 MT SINAI RD,,27705,NC,(919) 560-3932,35.988694; -78.991347
GLENN ELEMENTARY SAC CLUB,DURHAM,2415 E GEER ST,,27704,NC,(919) 287-5697,36.029499; -78.837487
WHITE ROCK CHILD DEV CENTER,DURHAM,3400 FAYETTEVILLE ST,,27707,NC,,35.9572751; -78.9091009
TARGET MEAT MARKET,DURHAM,4037 CHAPEL HILL BLVD,,27707,NC,(919) 765-0009,35.970283; -78.9540086
ENO TRACE HOA,DURHAM,4916 SHADBUSH DR,,27712,NC,,
ROYAL OAKS APTS,DURHAM,3554 WEYMOUTH,,27707,NC,,35.9672073; -78.9492826
SUBWAY,DURHAM,401 H LAKEWOOD AVE,,27707,NC,(919) 682-5232,35.9882332; -78.9000237
JIMMY JOHN'S 991,DURHAM,5410 PAGE ROAD SUITE 5,,27703,NC,,35.8795124; -78.8473644
HILTON GARDEN INN CAFE,DURHAM,7007 FAYETTEVILLE ROAD,,27713,NC,(919) 941-6066,35.9023263; -78.9386027
MARRIOT DURHAM CITY CENTER,DURHAM,201 FOSTER ST,,27701,NC,(919) 768-6000,35.9973818; -78.901896
NEW VISIONS OF AFRICA,DURHAM,1306 FAYETTEVILLE ST,,27707,NC,(919) 806-1345,35.9808865; -78.8996232
IHOP,DURHAM,1821 NORTH POINTE DR,,27705,NC,(919) 477-8830,36.0292494; -78.9214948
SUBWAY,DURHAM,4830 HWY 55,,27713,NC,(919) 544-6808,35.8998784; -78.8968577
BIOGEN CAFE 35,RTP,900 DAVIS DRIVE,,27709,NC,(919) 797-0497,35.8703056; -78.8667135
MANGUM ELEMENTARY SCI SAC CLU,BAHAMA,9008 QUAIL ROOST RD,,27503,NC,(919) 560-3948,36.1698747; -78.8763816
BROOKDALE CHAPEL HILL - AL,CHAPEL HILL,2220 FARMINGTON DRIVE,,27514,NC,(919) 933-1430,35.908347; -78.9848706
DEVIL'S PIZZERIA,DURHAM,742 9TH STREET,,27705,NC,(919) 286-3090,36.0092039; -78.9219025
DAME'S CHICKEN & WAFFLES,DURHAM,317 W. MAIN,,27701,NC,(919) 682-9235,35.9962778; -78.903262
FOOD LION  MARKET 1099,DURHAM,2930 W MAIN,,27705,NC,(919) 286-0400,36.0143674; -78.9340232
COLONIAL GRAND AT RESEARCH PAR,DURHAM,400 STONE LION DR,,27703,NC,,35.9409894; -78.8632172
EDINBOROUGH AT THE PARK - PH 2,DURHAM,200 EDINBOROUGH DR,,27703,NC,,35.8937048; -78.8466296
ALDEN PLACE APTS,DURHAM,100 ALEXAN DRIVE,,27707,NC,,35.963248; -78.967652
MARRIOTT RTP SPA,DURHAM,4700 GUARDIAN DRIVE,,27703,NC,,35.892504; -78.8465931
KENWOOD DRIVE HOME,DURHAM,5004 KENWOOD DRIVE,,27712,NC,(919) 410-9042,36.084289; -78.886403
REGIS AVENUE GROUP HOME,DURHAM,4425 REGIS AVENUE,,27705,NC,(919) 489-0682,36.043355; -78.978251
"ROSE'S CASTLE RESIDENTIAL SERVICES, INC",DURHAM,505 COOK ROAD,,27713,NC,(919) 680-4637,35.950637; -78.910749
SEASONS AT SOUTHPOINT,DURHAM,1002 HWY 54,,27713,NC,(919) 484-8518,35.9056238; -78.9200354
SALADELIA AT ATC,DURHAM,406 BLACKWELL STREET,,27701,NC,(919) 687-4600,35.9923679; -78.9050984
SPRING VALLEY ELEMENTARY SAC CLUB,DURHAM,2051 NORTHERN DURHAM PARKWAY,,27703,NC,(919) 560-2890,35.9559246; -78.8147675
LA VAQUITA,DURHAM,3409 HILLSBOROUGH ROAD,,27705,NC,(919) 489-7474,36.0182097; -78.9467118
BULL DURHAM BAR,DURHAM,3001 CAMERON BLVD,,27705,NC,(919) 490-0999,35.9928636; -78.9474745
SCRATCH BAKING,DURHAM,111 ORANGE ST.,,27701,NC,(919) 956-5200,35.9961644; -78.9004879
NEO JAPAN,DURHAM,4104 SURLES COURT SUITE 4,,27703,NC,(919) 682-4197,35.8678648; -78.8494845
THE GODDARD SCHOOL,DURHAM,5300 FAYETTEVILLE RD,,27713,NC,(919) 544-3311,35.9288385; -78.9209601
FAITH ASSEMBLY CHRISTIAN ACADEMY,DURHAM,3120 FAYETTVILLE STREET,,27707,NC,(919) 687-2763,35.9629837; -78.9094238
BE ACADEMY,DURHAM,2317 CHAPEL HILL RD,,27707,NC,,35.9821204; -78.9315981
EL CENTRO HISPANO,DURHAM,201 W MAIN ST SUITE 100,,27701,NC,,35.9957801; -78.9020007
RECOVERY CONNECTIONS OF DURHAM II,DURHAM,2913 WADWORTH AVE,,27707,NC,(919) 973-1018,35.9601366; -78.9221342
BD TECHNOLOGIES (FLIK INTERNATIONAL),DURHAM,21 DAVIS DRIVE,,27709,NC,(919) 458-9264,35.8919782; -78.8587915
ENHANCEMENT HEALTH CARE INC,DURHAM,917 LANCASTER ST,,27701,NC,(919) 416-4940,36.0127611; -78.9135753
BULL STREETGOURMET AND MARKET,DURHAM,3710 SHANNON RD,SUITE 100,27707,NC,(919) 237-2398,35.9563246; -78.9563695
WASHINGTON DUKE INN POOL,DURHAM,3001 CAMERON BLVD,,27706,NC,,35.9928636; -78.9474745
INNESBROOK APTS,DURHAM,5800 TATTERSALL,,27713,NC,,35.919215; -78.92804
CHINA WOK,DURHAM,3825 S ROXBORO ST,SPACE 124,27713,NC,(919) 544-0003,35.9487424; -78.921455
RIVERSIDE SCHOOL LUNCHROOM,DURHAM,3218 ROSE OF SHARON ROAD,,27712,NC,(919) 560-3965,36.065495; -78.943225
RUBY TUESDAYS #2760,DURHAM,1058 W  CLUB BLVD,,27701,NC,(919) 286-5100,36.018111; -78.9102149
CIRCLE K  6330,DURHAM,3308 HWY 55,,27713,NC,(919) 544-0900,35.933241; -78.888771
CORNING LIFE SCIENCES,DURHAM,1 BECTON CIRCLE,,27712,NC,(919) 620-6316,36.0962; -78.8521943
HOMESTEAD HEIGHTS SWIM AND TENNIS,DURHAM,836 HORTON RD,,27704,NC,,36.0536287; -78.9108317
TROPICAL DELIGHT DC #74,DURHAM,1408 CHRISTIAN AVE #3 SOPHISTICATED CATERING INC,,27715,NC,,36.0237073; -78.95042
CROASDAILE COUNTRY CLUB,DURHAM,3800 FARM GATE AVE,,27705,NC,,36.0307103; -78.9476592
RENAISSANCE CENTRAL,DURHAM,700 CECIL STREET,,27707,NC,(919) 416-1736,35.9711852; -78.8961077
MONTESSORI  CHILDREN'S HOUSE OF DURHAM,DURHAM,2800 PICKETT ROAD,,27705,NC,(919) 489-9045,35.9749552; -78.9522302
SAVANNAH PLACE,DURHAM,1519 SAVANNAH PLACE,,27713,NC,(919) 638-5147,35.9032737; -78.9071704
LUCAS MIDDLE SCHOOL,DURHAM,923 SNOW HILL RD,,27704,NC,(919) 560-3843,36.109108; -78.886559
ELEMENTS,DURHAM,433 W MURRAY AVE,,27704,NC,(919) 220-5429,36.0300649; -78.8973943
DUNKIN DONUTS BASKIN ROBBINS,DURHAM,2608 ERWIN RD,SUITE 156,27705,NC,(919) 309-0000,36.0093049; -78.9448625
WESTGLEN ROAD GROUP HOME,DURHAM,3523 WESTGLEN ROAD,,27705,NC,(919) 616-7982,35.976382; -78.972273
COMP COMM CARE INC-HICKORY GLEN HOUSE,DURHAM,104 HICKORY GLEN LANE,,27703,NC,(919) 818-3968,35.987283; -78.849424
FRANCESCAS,DURHAM,706 B NINTH ST,,27705,NC,(919) 286-4177,36.0080046; -78.9221783
DUKE FACULTY CLUB - MAIN,DURHAM,HWY 751 AND SCIENCE DR,,27708,NC,,35.9950162; -78.947039
BLACK HORSE RUN POOL,BAHAMA,11402 S LOWELL RD,,27503,NC,,36.1773735; -78.9020236
ENO TRACE,DURHAM,4916 SHADEBUSH DR,,27712,NC,,36.0798592; -78.8936721
GROVE PARK,DURHAM,300 NICHOLS FARM RD,,27703,NC,,35.976479; -78.813992
MELTING POT,DURHAM,7011 FAYETTEVILLE RD,SUITE 101,27713,NC,(919) 544-6358,35.9015132; -78.9396844
EMO VALLEY SA AND R CLUB,DURHAM,635 RIPPLING STREAM RD,,27704,NC,,36.0743655; -78.9002068
INNESBROOK APTS,DURHAM,5800 TATTERSALL DR,,27713,NC,,35.919215; -78.92804
ENO VALLEY SCHOOL LUNCHROOM,DURHAM,117 MILTON ROAD,,27712,NC,(919) 560-3485,36.0851774; -78.912153
HARDEE'S OF WELLON VILLAGE 135,DURHAM,1031 MIAMI BLVD,,27703,NC,(919) 403-9220,35.9631504; -78.8455484
SPRING VALLEY ELEMTARY,DURHAM,2051 NORTHERN DURHAM PKWY,,27703,NC,(919) 560-9418,35.9559246; -78.8147675
HEIGHTS AT SOUTH LASALLE,DURHAM,500 SOUTH LASALLE ST,,27705,NC,,36.011922; -78.950128
BABA GHANNOUJ,DURHAM,2200 W. MAIN STREET,,27705,NC,(919) 286-6699,36.0080117; -78.9265703
HILLS AT SOUTHPOINT,DURHAM,508 SOUTH BEND DRIVE,,27713,NC,,35.884681; -78.945198
CAMP EXPLORE LYON PARK,DURHAM,1309 HALLEY ST.,,27707,NC,,35.9893979; -78.9197121
LI MING'S GLOBAL MART (BAKERY),DURHAM,3400 WESTGATE DR,,27707,NC,(919) 401-5212,35.9658692; -78.9633656
HAPPY KIDS,DURHAM,3741 WAKE FOREST RD,,27703,NC,,35.982492; -78.8213398
YMCA DOWNTOWN LAP POOL,DURHAM,218 MORGAN ST,,27701,NC,(919) 667-9622,35.9985039; -78.9010921
EXTENDED STAY AMERICA #1570,DURHAM,4610 S. MIAMI BLVD.,,27703,NC,(919) 941-2878,35.8946042; -78.8481057
PETTIGREW REHABILITATION CTR,DURHAM,1515 W PETTIGREW ST,,27705,NC,(919) 286-0751,36.0052163; -78.9215119
ACADEMY OF STARS,DURHAM,1222 HOLLOWAY ST,,27701,NC,(919) 687-0862,35.994129; -78.87834
HUNGRY LEAF,DURHAM,2608 ERWIN ROAD  132,,27705,NC,(919) 321-8001,36.0093049; -78.9448625
OXFORD MANOR HEADSTART,DURHAM,3633 KEYSTONE PLACE,,27704,NC,(919) 220-5605,36.0403831; -78.8857515
UNITED THERAPEUTICS,RESEARCH TRIANGLE PARK,55 TW ALEXANDER DRIVE,,27709,NC,(919) 485-8350,35.914931; -78.8765615
CARLIE C'S IGA (MEAT MARKET),DURHAM,3729 WAKE FOREST HWY.,,27703,NC,(919) 596-9221,35.9825575; -78.8216547
HOMEWOOD SUITES RDU,DURHAM,4603 CENTRAL PARK DRIVE,,27703,NC,(919) 998-8804,35.8869458; -78.8486741
TAQUERIA LA ESPERANZA DC #2,DURHAM,1028 HOLLOWAY ST.,,27701,NC,(919) 949-0920,35.9944665; -78.8819836
DULCE CAFE & ICE CREAM,DURHAM,5826 FAYETTEVILLE RD. #106,,27713,NC,(919) 484-7337,35.9206841; -78.9296421
NEW DAY COMMUNITY SERVICES HOUSE  # 1,DURHAM,3119 WOODLAND PARK RD,,27703,NC,(919) 598-3117,35.999829; -78.836437
MI BARRIO,DURHAM,5023 WAKE FOREST HWY,,27703,NC,,35.977135; -78.7934177
HARRIS TEETER 224 DELI,DURHAM,1125 WEST NC 54 HIGHWAY SUITE 310,,27707,NC,(919) 403-0794,35.9174972; -78.9583786
LA REGIA DOMINICAN MEXICAN REST & GRILL 55,DURHAM,2601 APEX HWY 55 W,,27713,NC,(919) 957-1177,35.9445448; -78.8873014
TAQUERIA DON FILY TRUCK,DURHAM,2003 HOLLOWAY ST RESTAURANTE (DON FILY),,27703,NC,(919) 491-2732,35.9918846; -78.8656567
SHORT WINTER SOUPS,DURHAM,1101 W CHAPEL HILL ST,,27701,NC,(919) 619-3616,35.9965963; -78.9158568
FAYETTEVILLE STREET ELEM LUNCHROOM,DURHAM,2905 FAYETTEVILLE STREET,,27707,NC,,35.9644701; -78.9055786
SAGE AND SWIFT,DURHAM,2505 WHILDEN DRIVE,,27713,NC,(919) 957-7889,35.951417; -78.882953
LAKEWOOD AVE CHILDRENS SCH,DURHAM,1701 LAKEWOOD AVE,,27707,NC,(919) 493-5882,35.9863723; -78.9231742
LITTLE LEARNERS DAY CARE,DURHAM,711 BERWYN AVE,,27704,NC,(919) 220-7093,36.0340143; -78.8827567
CRESSET PRESCHOOL,DURHAM,3707 GARRETT RD,,27707,NC,(919) 489-2655,35.9727825; -78.9738531
RICKY'S NY PIZZA,DURHAM,5279 N. ROXBORO ROAD,,27704,NC,(919) 477-2800,36.0765775; -78.9114595
SUMAN'S CATERING,DURHAM,2104 ANGIER AVE JOE'S COMMISSARY,,27701,NC,(919) 943-0348,35.9819333; -78.8777813
OAK GROVE ELEMENTARY,DURHAM,3810 WAKE FOREST HWY,,27703,NC,(919) 560-3960,35.979946; -78.819459
SAKE BOMB,DURHAM,4215 UNIVERSITY DR,,27707,NC,(919) 401-4488,35.9627984; -78.9587737
TACOS CARRBORO,DURHAM,2721 GUESS RD #B  COSTA AZUL,,27705,NC,(919) 370-6159,36.0371317; -78.9285331
"MAGGIE'S HELPING HANDS, LLC",DURHAM,1011 PARK AVE.,,27701,NC,(919) 381-6583,35.996195; -78.877143
RUE  CLER,DURHAM,401 E CHAPEL HILL STREET,,27701,NC,(919) 682-8844,35.996935; -78.8999351
DRAGON INN,DURHAM,3823 GUESS ROAD,,27707,NC,(919) 477-6310,36.059598; -78.9289877
YOUNG ADVOCATES INSTITUTE,DURHAM,1801 FAYETTEVILLE ST,,27707,NC,(919) 744-6831,35.9747369; -78.8981013
BETHESDA SAC CLUB,DURHAM,2009 S MIAMI BLVD,,27703,NC,(919) 560-3904,35.9401449; -78.8378281
PARKWOOD SAC CLUB,DURHAM,5207 REVERE RD,,27713,NC,(919) 560-3962,35.8914339; -78.905692
CC SPAULDING ELEM,DURHAM,1531 S ROXBORO ST,,27701,NC,(919) 560-3974,35.9670479; -78.91649
CAMELOT ACADEMY,DURHAM,809 PROCTOR ST,,27707,NC,(919) 688-3040,35.9900247; -78.9127457
NEAL MIDDLE SCHOOL,DURHAM,201 BAPTIST RD,,27704,NC,(919) 560-3816,35.9784469; -78.7825681
AMERICAN MELTDOWN DC #6 PAUL INSERRA,DURHAM,1101 W CHAPEL HILL ST,,27701,NC,(516) 317-8395,35.9965963; -78.9158568
AL-HUDA ACADEMY,DURHAM,5104 REVERE RD,,27713,NC,(919) 720-8687,35.8945302; -78.9112598
TACO'S MEXICAN JORGITO JR DC #98,DURHAM,2100 ANGIER AVE JOE’S DINER,,27703,NC,(919) 358-8212,35.9819333; -78.8777813
SPRING VALLEY ELEMENTARY SCHOOL PRE K,DURHAM,2051 NORTHERN DURHAM PARKWAY,,27703,NC,(919) 560-2890,35.9559246; -78.8147675
BLUE EXPRESS/CO DUKE UNI,DURHAM,LSRC B 110 LASALLE ST EXT,BOX 91020,27708,NC,,
W D HILL SERVICE CENTER,DURHAM,1308 FAYETTEVILLE ST,,27701,NC,,35.9805106; -78.8995551
TROSA IFS,DURHAM,1001 NORTH ST,,27701,NC,(919) 419-1059,36.004515; -78.898448
CENTRAL FAMILY CARE HOME,DURHAM,206 E MURRAY AVE,,27704,NC,(919) 682-6877,36.0290044; -78.8911073
CHOP STIX CHINESE RESTAURANT,DURHAM,2000 AVONDALE DR UNIT B,,27704,NC,(919) 220-1188,36.0165379; -78.8849457
YOUNG EXPLORERS AT UNITED THERAPEUTICS,DURHAM,55 TW ALEXANDER DR,,27709,NC,(919) 485-8350,35.9144814; -78.8780184
RIB MASTER III DC #107,DURHAM,2100 ANGIER AVE JOE’S DINER,,27703,NC,(919) 561-7644,35.9819333; -78.8777813
THREE SEASONS DBA NANNY'S,DURHAM,2701 HILLSBOROUGH RD,,27705,NC,(919) 416-0600,36.0115095; -78.9308553
BURGER KING #6882,DURHAM,3414 N ROXBORO ST,,27704,NC,(919) 471-5520,36.0359223; -78.8927578
IVY COMMUNITY CENTER,DURHAM,4222 FAYETTEVILLE RD.,,27713,NC,(919) 484-2223,35.9441728; -78.9051021
DURHAM SCHOOL OF THE ARTS,DURHAM,400 N. DUKE ST.,,27701,NC,(919) 560-2223,36.0027689; -78.9068818
MCCLAMMY'S KIDS ACADEMY,DURHAM,1212 HORTON RD,,27704,NC,(919) 477-8474,36.0569867; -78.9200081
LITTLE CAESARS #2,DURHAM,3825 S. ROXBORO STREET,,27713,NC,(919) 361-5280,35.9487424; -78.921455
AUTUMNS WAY CARE HOME,DURHAM,4811 BAY POINT DR,,27713,NC,(919) 402-0442,35.938021; -78.919018
CHURCH'S CHICKEN #912,DURHAM,942 N MIAMI BLVD,,27703,NC,(919) 682-6332,35.9922407; -78.8683285
CHEERZ DELI,DURHAM,2945 S MIAMI BLVD SUITE 106,,27703,NC,(650) 678-9249,35.9243439; -78.8441197
DUKE FACULTY CLUB LAP #2,DURHAM,10 FACULTY CLUB DR,,27708,NC,,35.9948176; -78.9506825
FUN IN THE SUN,DURHAM,513 ROOSEVELT STREET,,27707,NC,(919) 638-3123,35.966824; -78.902799
THE LIFE CAMP,DURHAM,MAIN ST.,,27701,NC,,36.0003218; -78.9097603
HEAVENLY BUFFALOES,DURHAM,1807 W MARKHAM AVE,,27705,NC,(919) 633-1377,36.009669; -78.920306
SOOM SOOM PITA POCKETS,DURHAM,3726 MAYFAIR ST.,,27707,NC,(919) 259-8888,35.968657; -78.953113
DOUBLE TREE - SPA,DURHAM,2515 MERIDAN PARKWAY,,27713,NC,,35.909563; -78.8971946
COMFORT SUITES HOTEL SPA,DURHAM,5219 PAGE RD,,27703,NC,,35.8799558; -78.8436546
BOJANGLES #9,DURHAM,4150 GARRETT ROAD,,27707,NC,(919) 489-5942,35.962467; -78.9770852
VILLAGE BOWL,DURHAM,330 HARDEE STREET,,27703,NC,(919) 682-9145,35.9944885; -78.8643835
MATEO,DURHAM,109 W CHAPEL HILL ST,,27701,NC,(919) 530-8700,35.9967178; -78.9048009
AL-HUDA ACADEMY,DURHAM,5104 REVERE RD,,27713,NC,(919) 720-8687,35.8945302; -78.9112598
COCOA CINNAMON,DURHAM,420 W GEER ST,,27701,NC,(919) 699-8990,36.0037763; -78.9010904
BETHESDA CHRISTIAN ACADEMY,DURHAM,1914 S MIAMI BLVD,,27703,NC,(919) 596-5420,35.9435792; -78.8393888
DOUBLETREE BY HILTON RTP,DURHAM,4810 PAGE CREEK LANE,,27703,NC,(919) 941-6030,35.8842134; -78.8439768
MOREHEAD MANOR,DURHAM,914 VICKER AVE,,27701,NC,,35.991872; -78.9122782
BLUE CORN CAFE,DURHAM,716 B NINTH ST,,27705,NC,(919) 286-9600,36.008423; -78.921811
ARBY'S,DURHAM,3311 HILLSBOROUGH RD,,27705,NC,(919) 383-1003,36.0184079; -78.9451599
ELMO'S DINER,DURHAM,776 NINTH ST,,27705,NC,(919) 416-3823,36.0104274; -78.9217625
EDEN SPRING LIVING CENTER IFS,DURHAM,3812 BOOKER ST,,27713,NC,(919) 544-0874,35.95076; -78.906744
EASTWAY LUNCHROOM,DURHAM,610 N ALSTON AVE,,27701,NC,(919) 560-3879,35.991234; -78.884721
SPRINGHILL SUITES RTP,DURHAM,920 SLATER ROAD,,27703,NC,(919) 998-9500,35.8760295; -78.8374078
HOLIDAY INN EXPRESS RDUFR,CHAPEL HILL,6119 FARRINGTON ROAD,,27517,NC,,35.909788; -78.983154
PEARSONTOWN SCHOOL,DURHAM,4915 BARBEE RD,,27713,NC,(919) 560-3964,35.9316295; -78.9082959
HARVEST LEARNING CENTER,CHAPEL HILL,2400 NELSON HWY,,27514,NC,(919) 402-1900,35.9094823; -78.9904734
SOUTH SIDE COFFEE SHOP,DURHAM,DUKE SOUTH FOOD COURT,,27710,NC,,36.0070212; -78.9371863
HOTEL INDIGO - POOL,DURHAM,151 TATUM DRIVE,,27703,NC,(919) 474-3000,35.8850437; -78.8453806
CRUIZERS STORE 50,DURHAM,2716 GUESS RD,,27705,NC,(919) 957-9099,36.030079; -78.926576
RICKHOUSE CVK,DURHAM,609 FOSTER STREET,,27701,NC,(919) 264-1038,36.002705; -78.901697
CLUB BLVD LEARNING CENTER,DURHAM,18 DUBONNET PLACE,,27704,NC,,36.0252981; -78.8775577
G.L.A.D. HEARTS CAMP,DURHAM,2313 MAIN ST.,,27703,NC,,35.9862909; -78.8738619
FOOD LION PRODUCE  #2589,DURHAM,121 SHERRON ROAD,,27703,NC,(919) 596-2363,35.9742205; -78.7930157
ALOFT DURHAM DOWNTOWN,DURHAM,345 BLACKWELL ST,,27701,NC,(919) 402-5656,35.9933768; -78.9039493
BILL-LO'S EVENT PLANNING AND CATERING,DURHAM,1101 W CHAPEL HILL ST,,27701,NC,(919) 901-5061,35.9965963; -78.9158568
FOOD LION PRODUCE LLC#1099,DURHAM,2920 WEST MAIN ST,,27705,NC,(704) 633-8200,36.0132388; -78.9339927
KANGAROO EXPRESS 2723780,DURHAM,3321 APEX HWY 55,,27713,NC,(919) 361-8026,35.9324505; -78.8878207
WAFFLE HOUSE,DURHAM,4203 NC HWY 55,,27713,NC,(919) 544-4204,35.91373; -78.8915619
HEALTHY GOURMET,DURHAM,1101 W CHAPEL HILL ST,,27701,NC,(336) 575-7587,35.9965963; -78.9158568
COCOA CINNAMON,DURHAM,2627 HILLSBOROUGH RD,,27705,NC,(919) 697-8990,36.0116526; -78.9300544
TACOS DON FILY (TRAILER),DURHAM,2003 HOLLOWAY ST RESTAURANTE (DON FILY),,27703,NC,(919) 491-2732,35.9918846; -78.8656567
CHIRBA CHIRBA DUMPLING 2,DURHAM,1201 S BRIGGS AVE SUITE 120,,27703,NC,(919) 667-5966,35.9684924; -78.876472
DURHAM BULLS ATHLETIC PARK PNC CLUB,DURHAM,409 BLACKWELL ST,,27701,NC,(919) 687-6520,35.991585; -78.904016
RESTAURANTE Y TAQUERIA DON FILY,DURHAM,2003 HOLLOWAY ST,,27701,NC,(919) 408-6487,35.9918746; -78.8655174
MONO'S BURRITO GRILL,DURHAM,2505 CAMEILIA DR APT A SEASONAL STATUS,,27705,NC,(919) 597-0146,
DUKE UNIVERSITY WEST UNION THE CHEF'S KITCHEN,DURHAM,406 CHAPEL DR,,27708,NC,(919) 660-3900,36.001517; -78.9391734
T6 TATTOO LLC,DURHAM,2610 W. CARVER ST.,,27705,NC,(919) 286-1602,36.0382299; -78.9280755
WENDY'S 6311,DURHAM,4819 NC HWY.,,27713,NC,(620) 231-3390,35.9005331; -78.895491
LA COCINA DE ELENA,DURHAM,LA REGIA DOMINICAN APEX HWY 55,,27713,NC,(919) 730-5433,35.9445737; -78.8871589
DAVE SMITH,DURHAM,607 ELLIS ROAD #56,ESSER'S COMMISSARY,27703,NC,(919) 332-1807,35.9708359; -78.8668419
JB DUKE HOTEL,DURHAM,230 SCIENCE DRIVE,,27708,NC,(919) 660-6390,35.997155; -78.9465745
WEDGIES,DURHAM,359 BLACKWELL STREET SUITE 120,,27701,NC,(919) 908-6346,35.9929477; -78.904309
POPEYES LOUISIANA KITCHEN,DURHAM,2723 GUESS ROAD,,27705,NC,(919) 381-4555,36.0301067; -78.9273004
SHERATON IMPERIAL HOTEL,RTP,4700 EMPEROR BOULEVARD,,27703,NC,(919) 941-5050,35.8767831; -78.8388266
MT SYLVAN UNITED METHODIST PRESCHOOL,DURHAM,5731 N ROXBORO RD,,27712,NC,(919) 477-7389,36.0993648; -78.9111936
STEPS AND LADDERS CHILD CARE,DURHAM,1914 TAYLOR ST,,27703,NC,(919) 688-1339,35.9887564; -78.877056
T6 TATTOO LLC,DURHAM,2610 CARVER ST,,27705,NC,(919) 271-3739,36.0382325; -78.928066
COMFORT INN UNIVERSITY FOOD SERVICE,DURHAM,3508 MT MORIAH ROAD,,27707,NC,(919) 490-4949,35.9535388; -78.9944682
OPERATION BREAKTHROUGH / DHS MAIN SEMINARY,DURHAM,215 SEMINARY ST,,27701,NC,(919) 663-8596,35.998907; -78.9003024
QUESO MONSTER,DURHAM,2100 ANGIER AVE JOE’S DINER,,27703,NC,(919) 699-3319,35.9819333; -78.8777813
THAI 55,DURHAM,4716 HWY 55,,27713,NC,(919) 748-3051,35.9014889; -78.8963995
SABOR SOBRE RUEDAS,DURHAM,2104 ANGIER AVE JOE’S COMMISSARY,,27703,NC,(919) 333-4969,35.9819333; -78.8777813
HUNGRY ROLLER,DURHAM,4310 S MIAMI BLVD,,27703,NC,(919) 279-0730,35.8987439; -78.8503645
THE TOT SPOT,DURHAM,607 ELLIS ROAD,,27704,NC,(540) 207-0133,35.9708359; -78.8668419
MOTHERS AND SONS,DURHAM,107 WEST CHAPEL HILL STREET,,27701,NC,(919) 294-8247,35.9967505; -78.9046631
WORLD EMPOWERMENT CHURCH KIDZ ZONE,DURHAM,2403 LEDNUM,,27705,NC,,36.0281519; -78.9100713
HOME 2 SUITES BY HILTON,DURHAM,3305 WATKINS ROAD,,27707,NC,(919) 680-9000,35.953428; -78.990848
TATTOO ASYLUM,DURHAM,4422 N ROXBORO ST,,27704,NC,(919) 906-6154,36.0563096; -78.9027285
BULL CITY HEAT,DURHAM,1230 AVONDALE DR,,27703,NC,,36.004934; -78.883317
LAS GRINGAS,DURHAM,4310 S MIAMI BLVD THE HOUSE,,27703,NC,(919) 924-5902,35.8987439; -78.8503645
THE SANCTUARY OUTREACH MINISTRY,DURHAM,2619 ASHE ST.,,27703,NC,,35.981908; -78.869807
SAN PABLITO 2,DURHAM,902 FAYETTEVILLE STREET,,27701,NC,(919) 824-1140,35.9850752; -78.8984624
DUKE CONCESSIONS SERVICE LEVEL,DURHAM,WALLACE WADE STADIUM,,27708,NC,(919) 697-0950,35.9953688; -78.9417564
KROGER 337,DURHAM,5116 ROXBORO RD,,27712,NC,(919) 471-6263,36.0689173; -78.9077152
VILLA PIZZA,DURHAM,6910 FAYETTEVILLE ROAD,,27713,NC,(919) 361-0434,35.903599; -78.941906
PARC AT UNIVERSITY TOWER,DURHAM,20 MORCROFT LANE,,27705,NC,(919) 419-9895,35.9725938; -78.9560389
TATER BREAD CAFE,DURHAM,1108 MORNING GLORY,,27701,NC,(919) 730-5048,35.9883995; -78.887889
CAMP HOPE HORIZONS,DURHAM,401 E LAKEWOOD AVE,,27707,NC,(919) 399-4479,35.9882332; -78.9000237
PORCHETTA MFU AND CATERING,DURHAM,2100 ANGIER AVE JOE’S DINER,,27703,NC,(919) 727-6750,35.9819333; -78.8777813
